"","uid","namedLocation","domainID","siteID","plotID","plotType","pointID","startDate","eventID","pointCountMinute","targetTaxaPresent","taxonID","scientificName","taxonRank","vernacularName","observerDistance","detectionMethod","visualConfirmation","sexOrAge","clusterSize","clusterCode","identifiedBy","identificationHistoryID"
"1","2fa1166e-d2b0-4abe-b422-7d9764871083","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",9,"2019-06-18T10:20Z","BART_018.9.2019-06-18",5,"Y","CSWA","Setophaga pensylvanica","species","Chestnut-sided Warbler",40,"singing","No","Unknown",1,"","WFREE",NA
"2","f956a4ef-a7b4-4471-a40f-858875d752fb","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",9,"2019-06-18T10:20Z","BART_018.9.2019-06-18",3,"Y","YBSA","Sphyrapicus varius","species","Yellow-bellied Sapsucker",57,"drumming","No","Unknown",1,"","WFREE",NA
"3","9828f0d5-64c3-4970-89e4-d792dbe77e9c","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",9,"2019-06-18T10:20Z","BART_018.9.2019-06-18",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",37,"singing","No","Unknown",1,"","WFREE",NA
"4","af0acbee-5c6a-446e-9c71-7b7677ecf248","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",9,"2019-06-18T10:20Z","BART_018.9.2019-06-18",1,"Y","SWTH","Catharus ustulatus","species","Swainson's Thrush",60,"singing","No","Unknown",1,"","WFREE",NA
"5","9dd209fa-d940-488f-a55a-dd04a1c7c197","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",9,"2019-06-18T10:20Z","BART_018.9.2019-06-18",88,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",NA,"singing","No","Unknown",1,"","WFREE",NA
"6","df074482-0b98-4195-b9fe-148703fdf893","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",9,"2019-06-18T10:20Z","BART_018.9.2019-06-18",4,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",65,"calling","No","Unknown",1,"","WFREE",NA
"7","bd03a1ee-51bf-4d40-bf49-cc2d5d399009","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",8,"2019-06-18T10:51Z","BART_018.8.2019-06-18",2,"Y","YBSA","Sphyrapicus varius","species","Yellow-bellied Sapsucker",68,"calling","No","Unknown",1,"","WFREE",NA
"8","4361ea38-2495-4bdf-8e3d-dae969f380be","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",8,"2019-06-18T10:51Z","BART_018.8.2019-06-18",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",56,"singing","No","Unknown",1,"","WFREE",NA
"9","15e6bf4c-bf12-42de-80a6-064266cbad5e","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",8,"2019-06-18T10:51Z","BART_018.8.2019-06-18",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",42,"singing","No","Unknown",1,"","WFREE",NA
"10","7d7b7846-f650-47c9-abe5-20487cb365a4","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",8,"2019-06-18T10:51Z","BART_018.8.2019-06-18",1,"Y","SWTH","Catharus ustulatus","species","Swainson's Thrush",44,"singing","No","Unknown",1,"","WFREE",NA
"11","69476ed3-a704-4b03-a17a-d0a5e394ab87","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",8,"2019-06-18T10:51Z","BART_018.8.2019-06-18",1,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",40,"singing","No","Unknown",1,"","WFREE",NA
"12","001a6708-b46b-40e3-9ae5-0c723f0b6e71","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",8,"2019-06-18T10:51Z","BART_018.8.2019-06-18",3,"Y","SWTH","Catharus ustulatus","species","Swainson's Thrush",71,"singing","No","Unknown",1,"","WFREE",NA
"13","43131918-bf56-4414-b5dd-8715589f2f97","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",8,"2019-06-18T10:51Z","BART_018.8.2019-06-18",5,"Y","CSWA","Setophaga pensylvanica","species","Chestnut-sided Warbler",20,"singing","No","Unknown",1,"","WFREE",NA
"14","cb1872e9-8778-40c4-8205-52a77a4eebe6","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",7,"2019-06-18T11:18Z","BART_018.7.2019-06-18",2,"Y","COYE","Geothlypis trichas","species","Common Yellowthroat",56,"singing","No","Unknown",1,"","WFREE",NA
"15","61f88372-9b0e-43b4-b600-de8d619ad129","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",7,"2019-06-18T11:18Z","BART_018.7.2019-06-18",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",43,"singing","No","Unknown",1,"","WFREE",NA
"16","8511794c-acaa-4673-a237-5a556a6efd6c","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",7,"2019-06-18T11:18Z","BART_018.7.2019-06-18",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",52,"singing","No","Unknown",1,"","WFREE",NA
"17","04bcc32c-b767-4268-ba27-330fd4a016a4","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",7,"2019-06-18T11:18Z","BART_018.7.2019-06-18",1,"Y","VEER","Catharus fuscescens","species","Veery",77,"calling","No","Unknown",1,"","WFREE",NA
"18","4ce7fe0d-85d4-44f0-b8a0-9efb18ea404c","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",7,"2019-06-18T11:18Z","BART_018.7.2019-06-18",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",36,"singing","No","Unknown",1,"","WFREE",NA
"19","99a0ade4-bd86-4940-ab26-ca2bc90206fc","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",4,"2019-06-18T11:41Z","BART_018.4.2019-06-18",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",23,"singing","No","Unknown",1,"","WFREE",NA
"20","15a96698-f226-41e1-a01e-5e1fe11bea8f","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",4,"2019-06-18T11:41Z","BART_018.4.2019-06-18",2,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",62,"singing","No","Unknown",1,"","WFREE",NA
"21","d99464ca-0e66-44b6-beb8-3f58d9f06409","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",4,"2019-06-18T11:41Z","BART_018.4.2019-06-18",1,"Y","RBNU","Sitta canadensis","species","Red-breasted Nuthatch",47,"singing","No","Unknown",1,"","WFREE",NA
"22","d2cb7896-f523-45fb-bc54-564890a4e800","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",4,"2019-06-18T11:41Z","BART_018.4.2019-06-18",3,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",58,"singing","No","Unknown",1,"","WFREE",NA
"23","4e889759-1b6a-434b-925b-9430de608b62","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",4,"2019-06-18T11:41Z","BART_018.4.2019-06-18",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",39,"singing","No","Unknown",1,"","WFREE",NA
"24","89504f98-286a-4675-b31c-0885dda7763d","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",4,"2019-06-18T11:41Z","BART_018.4.2019-06-18",5,"Y","BLJA","Cyanocitta cristata","species","Blue Jay",74,"calling","No","Unknown",1,"","WFREE",NA
"25","23832ea7-de0a-4f33-a44d-a89dbd20f38a","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",5,"2019-06-18T12:03Z","BART_018.5.2019-06-18",4,"Y","YBSA","Sphyrapicus varius","species","Yellow-bellied Sapsucker",42,"drumming","No","Unknown",1,"","WFREE",NA
"26","4040d238-c1ed-4a66-904b-e8674d99f020","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",5,"2019-06-18T12:03Z","BART_018.5.2019-06-18",1,"Y","BTBW","Setophaga caerulescens","species","Black-throated Blue Warbler",29,"singing","No","Unknown",1,"","WFREE",NA
"27","4ab61f31-52c8-4fe4-a562-3d95e68ff281","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",5,"2019-06-18T12:03Z","BART_018.5.2019-06-18",1,"Y","NOPA","Setophaga americana","species","Northern Parula",21,"singing","No","Unknown",1,"","WFREE",NA
"28","47c0229b-9c33-4034-bb6e-3e72e96d9372","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",5,"2019-06-18T12:03Z","BART_018.5.2019-06-18",4,"Y","AMCR","Corvus brachyrhynchos","species","American Crow",83,"calling","No","Unknown",1,"","WFREE",NA
"29","fa38cd07-257c-44b4-93bb-d7f828fde346","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",5,"2019-06-18T12:03Z","BART_018.5.2019-06-18",3,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird",66,"singing","No","Unknown",1,"","WFREE",NA
"30","7e3f8cac-ae5b-4ab4-b64e-e74b42b7bf75","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",5,"2019-06-18T12:03Z","BART_018.5.2019-06-18",5,"Y","UNBI","Aves sp.","class","",35,"calling","No","Unknown",1,"","WFREE",NA
"31","9fccbea2-e1ac-4e7e-ad24-0b2d9aeb618f","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",1,"2019-06-18T12:22Z","BART_018.1.2019-06-18",2,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo",42,"singing","No","Unknown",1,"","WFREE",NA
"32","70eb87fe-81da-4f87-9b9f-a1ef0d561bcf","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",1,"2019-06-18T12:22Z","BART_018.1.2019-06-18",6,"Y","WBNU","Sitta carolinensis","species","White-breasted Nuthatch",58,"calling","No","Unknown",1,"","WFREE",NA
"33","ac894e9d-986d-4ab1-b637-c0aac2143c60","BART_018.birdGrid.brd","D01","BART","BART_018","distributed",1,"2019-06-18T12:22Z","BART_018.1.2019-06-18",4,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler",51,"singing","No","Unknown",1,"","WFREE",NA
